customer_id,product_id,product_name,category,supplier,transaction_date,quantity_sold,unit_price,total_revenue,cost_per_unit,inventory_on_hand,lead_time,delivery_time,on_time_delivery,quality_score,discount_percentage,channel,customer_segment,clv_score,churn_risk
CUST001,PROD001,Wireless Headphones,Electronics,TechSupplier A,2024-01-15,2,79.99,159.98,45.00,150,14,3,1,98,0,Online,Premium,850.5,Low
CUST002,PROD002,Running Shoes,Fashion,FashionCorp B,2024-01-16,1,120.00,120.00,60.00,75,21,5,1,95,10,In-Store,Regular,450.2,Medium
CUST003,PROD003,Coffee Maker,Home & Kitchen,HomeGoods Ltd,2024-01-17,1,89.99,89.99,50.00,200,7,2,1,99,0,Online,Premium,920.8,Low
CUST001,PROD004,Yoga Mat,Sports,SportsCorp,2024-01-18,3,25.99,77.97,12.00,300,10,4,1,97,5,Online,Premium,850.5,Low
CUST004,PROD005,Smartphone Case,Electronics,TechSupplier A,2024-01-19,1,15.99,15.99,8.00,500,14,3,1,96,0,Online,Regular,320.1,High
CUST005,PROD006,Winter Jacket,Fashion,FashionCorp C,2024-01-20,1,199.99,199.99,100.00,25,28,6,0,92,15,In-Store,Premium,1250.9,Low
CUST002,PROD007,Bluetooth Speaker,Electronics,TechSupplier B,2024-01-21,1,45.99,45.99,25.00,180,18,4,1,98,0,Online,Regular,450.2,Medium
CUST006,PROD008,Organic Tea,Grocery,OrganicFarms,2024-01-22,5,8.99,44.95,4.50,800,3,1,1,100,0,In-Store,Regular,180.5,Medium
CUST007,PROD009,Laptop Backpack,Accessories,BagMakers Inc,2024-01-23,1,69.99,69.99,35.00,120,16,5,1,94,0,Online,Regular,380.7,Medium
CUST003,PROD010,Kitchen Knife Set,Home & Kitchen,KitchenPro,2024-01-24,1,149.99,149.99,75.00,45,12,3,1,99,20,Online,Premium,920.8,Low
CUST008,PROD001,Wireless Headphones,Electronics,TechSupplier A,2024-01-25,1,79.99,79.99,45.00,149,14,3,1,98,0,Online,Regular,290.3,High
CUST009,PROD011,Protein Powder,Health & Fitness,SupplementCo,2024-01-26,2,39.99,79.98,20.00,250,5,2,1,97,0,Online,Premium,680.4,Low
CUST010,PROD012,Board Game,Toys & Games,GameWorld,2024-01-27,1,29.99,29.99,15.00,100,21,7,0,90,0,In-Store,Regular,220.8,High
CUST004,PROD013,Phone Charger,Electronics,TechSupplier C,2024-01-28,2,12.99,25.98,6.00,400,10,2,1,99,0,Online,Regular,320.1,High
CUST011,PROD014,Skincare Set,Beauty,BeautyCorp,2024-01-29,1,85.99,85.99,40.00,60,25,8,0,88,25,Online,Premium,750.6,Low
CUST012,PROD015,Desk Lamp,Home & Office,OfficePro,2024-01-30,1,34.99,34.99,18.00,200,14,4,1,96,0,Online,Regular,190.2,Medium
CUST005,PROD016,Athletic Shorts,Fashion,SportsCorp,2024-01-31,2,22.99,45.98,10.00,350,10,3,1,98,0,Online,Premium,1250.9,Low
CUST013,PROD017,Water Bottle,Sports,HydrationCo,2024-02-01,3,18.99,56.97,8.00,600,8,2,1,99,0,In-Store,Regular,340.5,Medium
CUST001,PROD018,Book - Fiction,Books,BookPublisher,2024-02-02,1,14.99,14.99,7.50,150,30,10,0,85,0,Online,Premium,850.5,Low
CUST014,PROD019,Pet Food,Pet Supplies,PetCare Inc,2024-02-03,1,28.99,28.99,15.00,300,7,2,1,98,0,In-Store,Regular,420.3,Medium
CUST015,PROD020,Garden Tools,Garden & Outdoor,GardenMaster,2024-02-04,1,45.99,45.99,22.00,80,20,6,1,93,10,In-Store,Regular,280.7,High
CUST006,PROD002,Running Shoes,Fashion,FashionCorp B,2024-02-05,1,120.00,120.00,60.00,74,21,5,1,95,0,In-Store,Premium,1250.9,Low
CUST016,PROD021,Wall Art,Home Decor,ArtisticTouch,2024-02-06,1,59.99,59.99,30.00,40,35,12,0,87,0,Online,Regular,310.8,High
CUST017,PROD022,Vitamins,Health & Fitness,WellnessCorp,2024-02-07,1,24.99,24.99,12.00,400,15,4,1,96,0,Online,Regular,180.4,Medium
CUST002,PROD023,Jeans,Fashion,DenimBrand,2024-02-08,1,89.99,89.99,45.00,120,25,7,0,91,15,In-Store,Regular,450.2,Medium
CUST018,PROD024,Gaming Mouse,Electronics,GamerTech,2024-02-09,1,49.99,49.99,25.00,200,12,3,1,99,0,Online,Premium,590.6,Low
CUST019,PROD025,Candles,Home Decor,FragranceHouse,2024-02-10,4,12.99,51.96,6.50,500,18,5,1,94,0,Online,Regular,220.3,Medium
CUST003,PROD026,Cutting Board,Home & Kitchen,KitchenPro,2024-02-11,1,25.99,25.99,13.00,180,12,3,1,98,0,Online,Premium,920.8,Low
CUST020,PROD027,Sunglasses,Accessories,EyewearCo,2024-02-12,1,79.99,79.99,40.00,150,22,6,1,92,20,In-Store,Regular,380.9,Medium
CUST007,PROD028,Protein Bar Box,Health & Fitness,SnackCorp,2024-02-13,2,19.99,39.98,10.00,300,5,1,1,100,0,Online,Regular,380.7,Medium
CUST021,PROD029,Throw Pillow,Home Decor,ComfortHouse,2024-02-14,2,24.99,49.98,12.00,200,20,8,0,89,0,Online,Regular,250.4,High
CUST022,PROD030,Car Accessories,Automotive,AutoParts Ltd,2024-02-15,1,35.99,35.99,18.00,100,15,4,1,95,0,In-Store,Regular,190.5,Medium